Từ 1	Từ 2	Độ tương tự
mượn	bán	2.3
giữ	bảo_vệ	4.3
giải_thích	chứng_tỏ	4.9
giả_bộ	giả_vờ	9.4
tán_thành	làm_ơn	1.4
tha_thứ	quên	3.6
giảng_giải	giải_thích	8
hiểu	tha_thứ	2.2
nhớ	quên	1.8
lấy	tồn_tại	1
hình_dung	tiết_lộ	0.8
yêu_cầu	hỏi_thăm	1.1
bỏ_qua	hỏi	1.8
nghĩ	hỏi_thăm	1.1
từ_chối	tránh	6.6
tranh_cãi	xúi_giục	0.9
theo_đuổi	xúi_giục	0.6
chấp_nhận	tha_thứ	4.7
thực_hiện	từ_bỏ	1.3
tìm_hiểu	xem_xét	5.6
bàn_luận	giải_thích	3.6
nợ	biếu	1.3
khám_phá	tiết_lộ	1.3
phàn_nàn	tranh_cãi	2.5
rút_lui	từ_chối	6.1
giữ	mượn	2.1
cầu_xin	hỏi	1.9
sắp_xếp	tổ_chức	4.4
giảm	thụt_lùi	8.2
diễn_thuyết	công_nhận	2
đưa	mượn	1.7
giết	che_chở	1.5
biến_mất	thụt_lùi	3.1
giao	mang	1.5
thở	bóp_cổ	1.1
công_nhận	cảnh_báo	1.2
trở_nên	hình_như	6.4
giả_vờ	hình_như	1.1
tranh_giành	trở_nên	1.2
ngắm	nghĩ	1.7
xác_định	dự_đoán	3.7
làm_ơn	giải_trí	0.2
tồn_tại	lưu_giữ	1.7
giả_vờ	miêu_tả	0.3
quên	lưu_giữ	1.2
muốn	chọn	5.7
mất	lấy	2.3
thử	nghĩ	1.5
trở_nên	xuất_hiện	1.7
khởi_hành	bỏ_qua	1
chấp_nhận	gợi_ý	1
khởi_hành	lầm_đường	1.9
giữ	đưa	1.7
đưa	thừa_nhận	0.7
cầm	gửi	2.3
hấp_thụ	học	3.1
tiếp_nhận	tìm	1.4
khởi_hành	xuất_hiện	0.9
tạo	phá	1.5
bắt_đầu	đi	1.8
lấy	mua	5.6
thu_thập	tiết_kiệm	1.6
thay_thế	khôi_phục	3.3
tham_gia	cộng	2.8
tham_gia	kết_hôn	1.5
chấp_nhận	giao	0.9
gắn	tham_gia	1.6
đặt	treo	3.4
đi	bán	1.4
giao_tiếp	cầu_nguyện	1.9
đưa	ăn_cắp	1.6
cộng	gây_dựng	0.8
cầm	khôi_phục	0.8
bao_hàm	hài_lòng	0.9
miêu_tả	quyết	0.4
tổ_chức	trở_nên	1.4
đưa	biết	0.4
nói	kiểm_chứng	3.8
hợp_tác	tham_gia	3.8
sắp_xếp	yêu_cầu	1.6
mượn	muốn	3
tìm_hiểu	theo_đuổi	6.3
bỏ_qua	khám_phá	1.3
cầm	phàn_nàn	0.3
vào	nợ	0.8
miêu_tả	cảnh_báo	2.8
nhớ	bán	0.6
hấp_thụ	có	1.4
tham_gia	tiếp_nhận	4.7
gửi	có_mặt	1
họp	có_mặt	5.5
hấp_thụ	rút_lui	0.6
có_mặt	đến	7.9
